state,population,pctPopulation,area,areaPct
CA,39512223,12.03538152,163694.7,4.311451039
TX,28995881,8.83211482,268596.5,7.074393117
FL,21477737,6.542096074,65757.7,1.731950417
NY,19453561,5.925534196,54555,1.436889596
PA,12801989,3.899472369,46054.4,1.212997676
IL,12671821,3.859823333,57913.6,1.525349635
OH,11689100,3.560487551,44825.6,1.180633091
GA,10617423,3.234055866,59425.2,1.56516271
NC,10488084,3.194659342,53819.2,1.417509826
MI,9986857,3.041986126,96713.5,2.54727563
NJ,8882190,2.705505721,8722.6,0.229739038
VA,8535519,2.599910099,42774.9,1.126621003
WA,7614893,2.319488389,71298,1.877872871
AZ,7278717,2.217089534,113990.3,3.002318324
MA,6949503,2.116811296,10554.4,0.277985658
TN,6833174,2.081377605,42144.3,1.110012029
IN,6732219,2.050626818,36419.6,0.959232781
MO,6137428,1.869454106,69707,1.835968529
MD,6045680,1.841507762,12405.9,0.326751144
WI,5822434,1.773507265,65496.4,1.725068202
CO,5758736,1.754104922,104093.7,2.741658044
MN,5639632,1.717825969,86935.8,2.289746982
SC,5148714,1.568292863,32020.5,0.843367672
AL,4903185,1.493504988,52420.1,1.380659817
LA,4648794,1.416017757,52378.1,1.379553606
KY,4467673,1.360848491,40407.8,1.064275455
OR,4217737,1.284718249,98378.5,2.591129011
OK,3956971,1.2052892,69898.9,1.841022862
CT,3565287,1.085982666,5543.4,0.146004102
UT,3205958,0.976531431,84896.9,2.236045686
IA,3155070,0.961031,56272.8,1.482133643
NV,3080156,0.938212274,110571.8,2.912280617
AR,3017825,0.919226317,53178.6,1.400637469
MS,2976149,0.906531851,48431.8,1.275614509
KS,2913314,0.887392377,82278.4,2.167078672
NM,2096829,0.638691905,121590.3,3.202489911
NE,1934408,0.58921864,77347.8,2.037214722
ID,1792065,0.545861112,83569,2.201070969
WV,1787147,0.544363094,24230,0.638178626
HI,1415872,0.43127312,10931.7,0.287923123
NH,1359711,0.414166539,9349.2,0.246242658
ME,1344212,0.40944556,35379.7,0.931843513
MT,1068778,0.325548653,147039.7,3.872785541
RI,1059361,0.322680245,1544.9,0.040690143
DE,973764,0.296607489,2488.7,0.065548293
SD,884659,0.2694662,77115.7,2.031101587
ND,762062,0.232123283,70698.3,1.862077752
AK,731545,0.222827837,665384,17.5251278
DC,705749,0.214970402,68.34,0.001799964
VT,623989,0.190066392,9616.4,0.25328027
WY,578759,0.176289382,97813,2.576234664
